date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:35	1688/1688	---M--	200	added ('OK')	image/png	etag:%2260c8969f-698%22	https://www.qr-code-generator.com/wp-content/themes/qr/new_structure/markets/core_market_full/generator/dist/generator/assets/images/websiteQRCode_noFrame.png	C:/My%20Web%20Sites/p/www.qr-code-generator.com/wp-content/themes/qr/new_structure/markets/core_market_full/generator/dist/generator/assets/images/websiteQRCode_noFrame.png	(from http://pushkarmaurya.herokuapp.com/)
11:14:45	175809/175809	---MCZ	200	added ('OK')	image/png	etag:W/%225e00f2c1-2aec1%22	https://www.kindpng.com/picc/m/459-4593856_video-conferencing-clipart-png-transparent-png.png	C:/My%20Web%20Sites/p/www.kindpng.com/picc/m/459-4593856_video-conferencing-clipart-png-transparent-png.png	(from http://pushkarmaurya.herokuapp.com/)
11:14:45	146/146	---M--	403	error ('Forbidden')	text/html	date:Tue,%2022%20Jun%202021%2005:44:37%20GMT	https://cdn.searchenginejournal.com/wp-content/uploads/2020/02/how-hackers-may-be-hurting-your-seo-5e45656cd8c2e.png	C:/My%20Web%20Sites/p/cdn.searchenginejournal.com/wp-content/uploads/2020/02/how-hackers-may-be-hurting-your-seo-5e45656cd8c2e.15.delayed	(from http://pushkarmaurya.herokuapp.com/)
11:14:46	255460/255460	---M--	200	added ('OK')	image/jpeg	etag:W/%223e5e4-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/personal.jpg	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/personal.jpg	(from http://pushkarmaurya.herokuapp.com/)
11:14:47	37799/37799	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Jun%202021%2005:44:48%20GMT	https://img.freepik.com/free-vector/people-making-list-illustration_53876-43029.jpg?size=626&ext=jpg	C:/My%20Web%20Sites/p/img.freepik.com/free-vector/people-making-list-illustration_53876-43029b5e7.jpg	(from http://pushkarmaurya.herokuapp.com/)
11:14:48	97358/97358	---M-Z	200	added ('OK')	application/javascript	etag:%229eb59e5602fef4b3ebf6090856ff21db+gzip%22	https://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/p/platform.twitter.com/widgets.js	(from http://pushkarmaurya.herokuapp.com/)
11:14:50	2831/2831	---M--	200	added ('OK')	image/png	etag:W/%22b0f-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/gallery/icon.png	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/gallery/icon.png	(from http://pushkarmaurya.herokuapp.com/)
11:14:57	1058047/1058047	---M--	200	added ('OK')	image/png	etag:%2216.3%22	https://miro.medium.com/max/6406/1*QN0n6KOTKFIGksURddy0Kg.png	C:/My%20Web%20Sites/p/miro.medium.com/max/6406/1_QN0n6KOTKFIGksURddy0Kg.png	(from http://pushkarmaurya.herokuapp.com/)
11:15:21	143398/143398	---M--	200	added ('OK')	image/jpeg	etag:W/%2223026-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/gallery/project-2.jpg	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/gallery/project-2.jpg	(from http://pushkarmaurya.herokuapp.com/)
11:15:31	252838/252838	---M--	200	added ('OK')	image/jpeg	etag:W/%223dba6-17a1f69df30%22	http://pushkarmaurya.herokuapp.com/img/gallery/project-4.jpg	C:/My%20Web%20Sites/p/pushkarmaurya.herokuapp.com/img/gallery/project-4.jpg	(from http://pushkarmaurya.herokuapp.com/)
